id,name,category,price,stock,supplier
1,Coffee Maker,Kitchen Appliances,89.99,45,HomeGoods Plus
2,Yoga Mat,Fitness,29.99,120,SportLife Inc
3,Desk Lamp,Home Office,34.5,78,LightingPro
4,Bluetooth Speaker,Electronics,59.99,92,TechZone
5,Plant Pot,Garden,19.99,156,GreenThumb Co
1,Gaming Mouse,Computer Accessories,49.99,65,TechGear Ltd
2,Water Bottle,Sports Equipment,24.99,200,FitLife Corp
3,Air Purifier,Home Appliances,149.99,30,CleanAir Systems
4,Notebook Set,Stationery,15.99,350,PaperWorks Inc
5,Wall Clock,Home Decor,39.99,85,TimeKeepers Co
1,Laptop,Electronics,999.99,50,Tech Corp
2,Coffee Maker,Appliances,79.99,30,Home Goods Inc
3,Running Shoes,Sports,129.99,100,Sports Gear Ltd
4,Backpack,Accessories,49.99,75,Travel Basics Co
